"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 02 15:09:23 GMT 2025","Fri May 02 15:09:27 GMT 2025","4305","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","getEmployeesOfCompany","Получение списка сотрудников для компании",""
"passed","Fri May 02 15:09:40 GMT 2025","Fri May 02 15:09:41 GMT 2025","698","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","addNewEmployeeToInvalidCompany","Добавление нового сотрудника в несуществующую компанию",""
"passed","Fri May 02 15:09:37 GMT 2025","Fri May 02 15:09:37 GMT 2025","667","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","getEmployeesOfCompany","Получение списка сотрудников для компании",""
"passed","Fri May 02 15:09:41 GMT 2025","Fri May 02 15:09:42 GMT 2025","994","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","addNewEmployee","Добавление нового сотрудника в компанию",""
"passed","Fri May 02 15:09:42 GMT 2025","Fri May 02 15:09:43 GMT 2025","977","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","updateEmployeeInfo","Изменение данных сотрудника. Тело запроса по схеме",""
"passed","Fri May 02 15:09:32 GMT 2025","Fri May 02 15:09:32 GMT 2025","377","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","getEmployeeByInvalidId","Получение сотрудника по несуществующему Id",""
"passed","Fri May 02 15:09:37 GMT 2025","Fri May 02 15:09:39 GMT 2025","1302","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","addEmployeeTwice","Добавление одного и того же сотрудника два раза в одну компанию",""
"passed","Fri May 02 15:09:30 GMT 2025","Fri May 02 15:09:31 GMT 2025","818","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","addNewEmployeeWithAllData","Добавление нового сотрудника со всеми полями по схеме",""
"passed","Fri May 02 15:09:17 GMT 2025","Fri May 02 15:09:18 GMT 2025","643","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","validAuth","Авторизация с валидным логином и паролем",""
"passed","Fri May 02 15:09:39 GMT 2025","Fri May 02 15:09:40 GMT 2025","1232","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","updateEmployeeInfoWithoutSchema","Изменение данных сотрудника. Тело запроса не по схеме",""
"passed","Fri May 02 15:09:29 GMT 2025","Fri May 02 15:09:30 GMT 2025","693","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","updateInvalidEmployeeInfo","Изменить информацию несуществующему сотруднику",""
"passed","Fri May 02 15:09:31 GMT 2025","Fri May 02 15:09:31 GMT 2025","693","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","getEmployeeById","Получение сотрудника по Id",""
"passed","Fri May 02 15:09:32 GMT 2025","Fri May 02 15:09:33 GMT 2025","955","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","updateEmployeeInfo","Изменить информацию о сотруднике. Тело запроса согласно схеме",""
"passed","Fri May 02 15:09:42 GMT 2025","Fri May 02 15:09:42 GMT 2025","490","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","getEmployeeById","Получить сотрудника по id",""
"passed","Fri May 02 15:09:28 GMT 2025","Fri May 02 15:09:29 GMT 2025","864","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","addNewEmployee","Добавление нового сотрудника с минимальным набором полей",""
"passed","Fri May 02 15:09:27 GMT 2025","Fri May 02 15:09:28 GMT 2025","1357","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","updateEmployeeInfoWithoutSchema","Изменить информацию о сотруднике. Тело запроса не по схеме",""
"passed","Fri May 02 15:09:11 GMT 2025","Fri May 02 15:09:17 GMT 2025","6150","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","fullOrderCycle","Полный цикл заказа [2] performance_glitch_user",""
"passed","Fri May 02 15:09:31 GMT 2025","Fri May 02 15:09:32 GMT 2025","623","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","getEmployeesOfCompanyWithInvalidId","Получение списка сотрудников для несуществующей компании",""
"passed","Fri May 02 15:09:18 GMT 2025","Fri May 02 15:09:18 GMT 2025","289","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","invalidAuth","Авторизация заблокированным пользователем",""
"passed","Fri May 02 15:08:57 GMT 2025","Fri May 02 15:09:11 GMT 2025","14004","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","fullOrderCycle","Полный цикл заказа [1] standard_user",""
