"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 02 14:52:28 GMT 2025","Fri May 02 14:52:29 GMT 2025","1133","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","getEmployeesOfCompany","Получение списка сотрудников для компании",""
"passed","Fri May 02 14:52:34 GMT 2025","Fri May 02 14:52:34 GMT 2025","633","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","getEmployeeById","Получить сотрудника по id",""
"passed","Fri May 02 14:52:33 GMT 2025","Fri May 02 14:52:34 GMT 2025","843","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","addNewEmployee","Добавление нового сотрудника в компанию",""
"passed","Fri May 02 14:52:22 GMT 2025","Fri May 02 14:52:23 GMT 2025","528","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","getEmployeesOfCompanyWithInvalidId","Получение списка сотрудников для несуществующей компании",""
"passed","Fri May 02 14:52:23 GMT 2025","Fri May 02 14:52:24 GMT 2025","1104","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","updateEmployeeInfo","Изменить информацию о сотруднике. Тело запроса согласно схеме",""
"passed","Fri May 02 14:52:32 GMT 2025","Fri May 02 14:52:33 GMT 2025","1017","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","addNewEmployeeToInvalidCompany","Добавление нового сотрудника в несуществующую компанию",""
"passed","Fri May 02 14:52:02 GMT 2025","Fri May 02 14:52:08 GMT 2025","6164","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","fullOrderCycle","Полный цикл заказа [2] performance_glitch_user",""
"passed","Fri May 02 14:52:29 GMT 2025","Fri May 02 14:52:31 GMT 2025","1796","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","addEmployeeTwice","Добавление одного и того же сотрудника два раза в одну компанию",""
"passed","Fri May 02 14:52:08 GMT 2025","Fri May 02 14:52:08 GMT 2025","656","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","validAuth","Авторизация с валидным логином и паролем",""
"passed","Fri May 02 14:52:20 GMT 2025","Fri May 02 14:52:21 GMT 2025","1276","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","addNewEmployeeWithAllData","Добавление нового сотрудника со всеми полями по схеме",""
"passed","Fri May 02 14:52:21 GMT 2025","Fri May 02 14:52:22 GMT 2025","1121","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","getEmployeeById","Получение сотрудника по Id",""
"passed","Fri May 02 14:52:19 GMT 2025","Fri May 02 14:52:20 GMT 2025","685","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","updateInvalidEmployeeInfo","Изменить информацию несуществующему сотруднику",""
"passed","Fri May 02 14:52:08 GMT 2025","Fri May 02 14:52:09 GMT 2025","372","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","invalidAuth","Авторизация заблокированным пользователем",""
"passed","Fri May 02 14:52:34 GMT 2025","Fri May 02 14:52:35 GMT 2025","1149","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","updateEmployeeInfo","Изменение данных сотрудника. Тело запроса по схеме",""
"passed","Fri May 02 14:52:31 GMT 2025","Fri May 02 14:52:32 GMT 2025","1157","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","updateEmployeeInfoWithoutSchema","Изменение данных сотрудника. Тело запроса не по схеме",""
"passed","Fri May 02 14:52:17 GMT 2025","Fri May 02 14:52:18 GMT 2025","1399","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","updateEmployeeInfoWithoutSchema","Изменить информацию о сотруднике. Тело запроса не по схеме",""
"passed","Fri May 02 14:51:22 GMT 2025","Fri May 02 14:52:01 GMT 2025","39820","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","fullOrderCycle","Полный цикл заказа [1] standard_user",""
"passed","Fri May 02 14:52:13 GMT 2025","Fri May 02 14:52:17 GMT 2025","4111","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","getEmployeesOfCompany","Получение списка сотрудников для компании",""
"passed","Fri May 02 14:52:18 GMT 2025","Fri May 02 14:52:19 GMT 2025","881","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","addNewEmployee","Добавление нового сотрудника с минимальным набором полей",""
"passed","Fri May 02 14:52:23 GMT 2025","Fri May 02 14:52:23 GMT 2025","386","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","getEmployeeByInvalidId","Получение сотрудника по несуществующему Id",""
