"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 05 14:20:17 GMT 2025","Mon May 05 14:20:17 GMT 2025","341","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","invalidAuth","Авторизация заблокированным пользователем",""
"passed","Mon May 05 14:20:21 GMT 2025","Mon May 05 14:20:25 GMT 2025","3991","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","getEmployeesOfCompany","Получение списка сотрудников для компании",""
"passed","Mon May 05 14:20:10 GMT 2025","Mon May 05 14:20:16 GMT 2025","6170","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","fullOrderCycle","Полный цикл заказа [2] performance_glitch_user",""
"passed","Mon May 05 14:20:36 GMT 2025","Mon May 05 14:20:37 GMT 2025","538","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","addNewEmployeeToInvalidCompany","Добавление нового сотрудника в несуществующую компанию",""
"passed","Mon May 05 14:20:34 GMT 2025","Mon May 05 14:20:35 GMT 2025","1142","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","addEmployeeTwice","Добавление одного и того же сотрудника два раза в одну компанию",""
"passed","Mon May 05 14:20:25 GMT 2025","Mon May 05 14:20:27 GMT 2025","1203","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","updateEmployeeInfoWithoutSchema","Изменить информацию о сотруднике. Тело запроса не по схеме",""
"passed","Mon May 05 14:20:28 GMT 2025","Mon May 05 14:20:29 GMT 2025","987","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","addNewEmployeeWithAllData","Добавление нового сотрудника со всеми полями по схеме",""
"passed","Mon May 05 14:20:30 GMT 2025","Mon May 05 14:20:30 GMT 2025","308","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","getEmployeesOfCompanyWithInvalidId","Получение списка сотрудников для несуществующей компании",""
"passed","Mon May 05 14:19:39 GMT 2025","Mon May 05 14:20:10 GMT 2025","30905","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","fullOrderCycle","Полный цикл заказа [1] standard_user",""
"passed","Mon May 05 14:20:29 GMT 2025","Mon May 05 14:20:30 GMT 2025","635","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","getEmployeeById","Получение сотрудника по Id",""
"passed","Mon May 05 14:20:30 GMT 2025","Mon May 05 14:20:31 GMT 2025","853","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","updateEmployeeInfo","Изменить информацию о сотруднике. Тело запроса согласно схеме",""
"passed","Mon May 05 14:20:30 GMT 2025","Mon May 05 14:20:30 GMT 2025","336","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","getEmployeeByInvalidId","Получение сотрудника по несуществующему Id",""
"passed","Mon May 05 14:20:16 GMT 2025","Mon May 05 14:20:17 GMT 2025","639","","ui.tests.SwagLabsTests","","ui.tests.SwagLabsTests","validAuth","Авторизация с валидным логином и паролем",""
"passed","Mon May 05 14:20:35 GMT 2025","Mon May 05 14:20:36 GMT 2025","1096","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","updateEmployeeInfoWithoutSchema","Изменение данных сотрудника. Тело запроса не по схеме",""
"passed","Mon May 05 14:20:33 GMT 2025","Mon May 05 14:20:34 GMT 2025","702","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","getEmployeesOfCompany","Получение списка сотрудников для компании",""
"passed","Mon May 05 14:20:38 GMT 2025","Mon May 05 14:20:39 GMT 2025","900","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","updateEmployeeInfo","Изменение данных сотрудника. Тело запроса по схеме",""
"passed","Mon May 05 14:20:38 GMT 2025","Mon May 05 14:20:38 GMT 2025","477","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","getEmployeeById","Получить сотрудника по id",""
"passed","Mon May 05 14:20:27 GMT 2025","Mon May 05 14:20:28 GMT 2025","562","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","updateInvalidEmployeeInfo","Изменить информацию несуществующему сотруднику",""
"passed","Mon May 05 14:20:27 GMT 2025","Mon May 05 14:20:27 GMT 2025","712","","api.tests.EmployeeContractTests","","api.tests.EmployeeContractTests","addNewEmployee","Добавление нового сотрудника с минимальным набором полей",""
"passed","Mon May 05 14:20:37 GMT 2025","Mon May 05 14:20:38 GMT 2025","651","","api.tests.EmployeeBusinessTests","","api.tests.EmployeeBusinessTests","addNewEmployee","Добавление нового сотрудника в компанию",""
